algorithm,seed,cumulative_regret,average_reward,optimal_round,param_error
DeepUCB,47,0.019924163818359375,0.9776787013590517,,0.0
DeepUCB,48,0.003664731979370117,0.982558034317896,,0.0
DeepUCB,49,0.010483264923095703,0.9782498390370072,,0.0
DeepUCB,50,0.008235692977905273,0.9768307949500309,,0.0
DeepUCB,51,0.016575217247009277,0.9776705740965289,,0.0
EXP3,42,0.01668250560760498,0.9803983359330656,,0.0
EXP3,43,0.016950368881225586,0.9820390794218916,,0.0
EXP3,44,0.016231656074523926,0.9781471160063507,,0.0
EXP3,45,0.016198277473449707,0.9816808679675765,,0.0
EXP3,46,0.01643836498260498,0.9812223096805467,,0.0
EXP3,47,0.016382813453674316,0.9818534755729311,,0.0
EXP3,48,0.016061782836914062,0.9824115676286697,,0.0
EXP3,49,0.016733884811401367,0.9813183835169513,,0.0
EXP3,50,0.016472339630126953,0.981957975985765,,0.0
EXP3,51,0.016499042510986328,0.9807238337645012,,0.0
Hedge,42,0.01647365093231201,0.9803979341977598,,0.0
Hedge,43,0.016786813735961914,0.9820382044257063,,0.0
Hedge,44,0.016098856925964355,0.978147330583072,,0.0
Hedge,45,0.015859127044677734,0.9816806283569045,,0.0
Hedge,46,0.016568779945373535,0.9812220045047654,,0.0
Hedge,47,0.01652359962463379,0.981853818895685,,0.0
Hedge,48,0.01598381996154785,0.98241211122303,,0.0
Hedge,49,0.016612529754638672,0.9813181677481373,1022,0.0
Hedge,50,0.016554951667785645,0.9819585672638411,,0.0
Hedge,51,0.016401290893554688,0.9807250425466972,,0.0
Classical-TS,42,0.01502227783203125,0.9820434650042523,,0.0
Classical-TS,43,0.021677255630493164,0.980612604449305,,0.0
Classical-TS,44,0.017522573471069336,0.9845810986888885,,0.0
Classical-TS,45,0.008464455604553223,0.9831305261372301,,0.0
Classical-TS,46,0.012874722480773926,0.9806541756785753,,0.0
Classical-TS,47,0.027271509170532227,0.9831805651200297,,0.0
Classical-TS,48,0.026656508445739746,0.9833440204857316,,0.0
Classical-TS,49,0.019407033920288086,0.9770063212654021,,0.0
Classical-TS,50,0.014356493949890137,0.9847822612613275,,0.0
Classical-TS,51,0.02551412582397461,0.9817595432346322,,0.0
Classical-UCB,42,0.016297459602355957,0.9802403425452466,,0.0
Classical-UCB,43,0.016124367713928223,0.982213795306904,,0.0
Classical-UCB,44,0.01607382297515869,0.9826389492096549,,0.0
Classical-UCB,45,0.016074538230895996,0.9810611296841242,,0.0
Classical-UCB,46,0.01604616641998291,0.979336370955821,,0.0
Classical-UCB,47,0.01627671718597412,0.9804058108227764,,0.0
Classical-UCB,48,0.01622605323791504,0.9812652877701535,,0.0
Classical-UCB,49,0.016232967376708984,0.9818210767657745,,0.0
Classical-UCB,50,0.01627945899963379,0.9826331011254674,,0.0
Classical-UCB,51,0.015974998474121094,0.9791363044208548,,0.0
